Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Churn
No,No,2,Yes,No,No,No,No,No,Yes
Yes,Yes,28,No,No,No,No,No,No,No
No,No,17,Yes,Yes,No,No,Yes,No,No
Yes,Yes,35,Yes,No,No,No,No,No,No
No,No,8,Yes,No,No,No,No,No,No
No,No,46,Yes,Yes,No,Yes,Yes,No,No
No,No,7,Yes,Yes,No,No,No,No,Yes
No,No,2,Yes,Yes,No,No,Yes,No,Yes
Yes,Yes,68,Yes,Yes,No,Yes,Yes,Yes,Yes
No,No,43,Yes,Yes,No,Yes,Yes,No,Yes
No,No,68,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,36,Yes,No,No,Yes,No,No,No
Yes,No,63,Yes,Yes,No,Yes,Yes,No,Yes
No,No,32,Yes,No,No,Yes,No,Yes,No
Yes,No,71,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,Yes,66,Yes,Yes,Yes,Yes,Yes,No,No
No,No,63,Yes,No,No,No,No,No,No
No,Yes,41,Yes,No,No,No,No,No,No
No,No,1,Yes,Yes,No,No,No,No,No
No,No,2,Yes,No,No,No,No,No,Yes
Yes,No,70,Yes,No,No,No,No,No,No
No,No,23,No,No,No,No,No,No,No
Yes,No,64,Yes,No,Yes,Yes,Yes,No,No
Yes,Yes,37,Yes,Yes,Yes,No,Yes,Yes,No
No,Yes,17,Yes,No,No,No,No,No,No
No,No,7,Yes,No,No,No,No,No,No
Yes,Yes,4,Yes,Yes,No,Yes,Yes,No,Yes
No,No,21,No,No,Yes,No,No,No,Yes
No,No,10,Yes,No,No,No,No,No,Yes
No,No,16,Yes,Yes,Yes,No,No,No,No
Yes,No,64,Yes,Yes,No,Yes,No,Yes,No
Yes,No,27,No,No,Yes,No,No,No,Yes
Yes,Yes,42,Yes,Yes,Yes,No,No,No,No
No,Yes,5,Yes,No,No,No,No,No,No
No,No,41,Yes,No,No,Yes,No,Yes,No
Yes,No,58,Yes,No,No,No,Yes,No,No
No,No,47,Yes,No,No,No,No,No,No
No,No,18,Yes,No,No,No,No,Yes,No
No,No,5,Yes,No,No,No,Yes,No,Yes
Yes,No,23,Yes,No,Yes,No,No,No,No
No,No,1,Yes,No,No,No,No,No,No
Yes,No,71,Yes,Yes,No,No,Yes,No,No
Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,Yes,33,Yes,No,No,No,No,No,No
No,No,2,Yes,Yes,No,No,No,No,Yes
No,Yes,24,No,No,Yes,No,No,Yes,No
Yes,Yes,56,Yes,Yes,No,Yes,Yes,Yes,No
No,No,37,Yes,No,No,Yes,No,No,No
No,No,43,Yes,Yes,No,Yes,Yes,Yes,No
No,No,1,No,No,No,No,No,No,No
Yes,No,25,Yes,Yes,No,No,Yes,Yes,Yes
No,No,61,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,17,Yes,Yes,No,No,Yes,Yes,No
Yes,No,41,Yes,No,No,Yes,Yes,Yes,No
No,No,1,Yes,No,No,Yes,No,No,Yes
Yes,Yes,72,No,No,Yes,Yes,Yes,Yes,No
No,No,1,Yes,Yes,No,Yes,No,No,Yes
No,No,48,Yes,Yes,No,Yes,Yes,No,No
Yes,No,11,Yes,No,No,No,No,No,Yes
Yes,No,55,Yes,Yes,No,Yes,Yes,No,Yes
No,No,42,No,No,Yes,Yes,Yes,Yes,No
No,No,44,Yes,Yes,No,No,Yes,No,No
No,Yes,1,Yes,No,No,No,No,No,No
No,No,27,Yes,Yes,No,No,No,No,No
Yes,No,27,Yes,Yes,No,Yes,Yes,Yes,No
No,No,2,Yes,No,No,No,No,No,No
No,No,19,Yes,No,No,No,No,No,No
Yes,No,42,Yes,Yes,No,No,No,No,No
No,No,66,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,No,33,Yes,Yes,Yes,No,Yes,Yes,No
No,No,34,Yes,No,No,Yes,No,No,Yes
No,No,33,No,No,No,No,Yes,Yes,No
Yes,Yes,23,Yes,No,No,No,No,No,No
No,No,32,Yes,No,No,No,No,No,No
No,No,11,Yes,No,No,No,No,No,No
Yes,Yes,69,Yes,Yes,No,No,Yes,No,Yes
Yes,No,68,Yes,No,Yes,No,No,Yes,No
No,No,20,Yes,No,No,No,No,No,No
No,No,72,Yes,No,No,No,No,No,No
Yes,Yes,60,Yes,Yes,Yes,No,Yes,No,No
Yes,Yes,32,Yes,No,No,Yes,No,No,No
No,No,1,Yes,No,No,No,No,No,Yes
No,No,1,Yes,No,No,No,No,No,Yes
No,No,3,Yes,Yes,No,Yes,No,No,Yes
Yes,No,46,Yes,Yes,No,No,No,No,No
Yes,No,29,Yes,Yes,No,No,No,No,No
No,No,51,Yes,Yes,No,Yes,Yes,Yes,No
Yes,No,48,Yes,No,No,No,No,No,No
Yes,Yes,16,Yes,No,No,Yes,No,No,No
Yes,No,70,Yes,Yes,No,Yes,Yes,Yes,No
Yes,Yes,40,Yes,Yes,No,No,No,No,No
Yes,Yes,22,Yes,No,No,Yes,No,No,Yes
No,No,1,Yes,No,No,No,Yes,No,Yes
Yes,Yes,5,Yes,Yes,No,No,No,No,No
No,No,7,Yes,No,No,No,No,No,No
No,Yes,29,Yes,Yes,No,Yes,Yes,Yes,No
Yes,Yes,44,Yes,Yes,No,No,No,No,No
No,No,10,No,No,Yes,Yes,Yes,No,No
Yes,No,55,Yes,Yes,No,No,No,No,No
Yes,No,52,Yes,Yes,No,Yes,Yes,No,No
Yes,Yes,10,Yes,Yes,No,No,No,No,No
No,No,18,Yes,Yes,No,No,No,No,No
Yes,No,68,Yes,Yes,Yes,No,No,Yes,No
Yes,Yes,61,Yes,No,No,No,No,No,Yes
Yes,Yes,72,No,No,Yes,Yes,Yes,Yes,No
No,No,2,Yes,No,Yes,No,Yes,No,No
No,No,12,Yes,No,No,No,No,No,Yes
Yes,No,41,Yes,No,No,No,No,No,No
No,No,26,No,No,No,No,Yes,Yes,No
Yes,No,36,Yes,No,No,No,No,No,No
Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,No,35,Yes,Yes,No,No,No,Yes,No
No,No,1,Yes,No,No,No,Yes,Yes,No
Yes,Yes,16,Yes,Yes,Yes,No,Yes,Yes,No
No,No,49,Yes,Yes,Yes,No,No,No,No
Yes,No,54,Yes,Yes,Yes,Yes,Yes,Yes,No
No,Yes,18,Yes,Yes,Yes,No,No,No,No
Yes,No,36,Yes,No,No,No,No,No,No
No,No,60,Yes,Yes,No,Yes,Yes,No,Yes
No,No,1,Yes,No,No,No,No,No,Yes
Yes,Yes,52,Yes,Yes,No,No,No,No,No
Yes,Yes,8,Yes,No,No,No,Yes,No,No
Yes,Yes,72,Yes,No,Yes,Yes,No,Yes,No
No,No,64,Yes,Yes,No,No,No,No,No
No,No,22,Yes,No,Yes,No,Yes,Yes,No
Yes,No,60,No,No,No,Yes,Yes,Yes,No
Yes,Yes,28,Yes,No,No,No,No,No,Yes
Yes,No,61,Yes,Yes,No,No,No,No,No
No,No,24,Yes,Yes,No,Yes,Yes,No,No
Yes,Yes,28,Yes,No,No,Yes,Yes,Yes,No
Yes,Yes,30,Yes,No,No,Yes,Yes,Yes,No
Yes,No,2,Yes,No,No,No,No,No,No
No,No,1,Yes,Yes,No,No,No,No,No
No,Yes,6,Yes,No,No,No,No,No,No
Yes,No,24,Yes,No,No,Yes,No,No,No
Yes,Yes,4,Yes,Yes,No,No,Yes,No,Yes
No,No,7,Yes,Yes,No,Yes,No,No,Yes
Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,70,No,No,No,No,No,Yes,No
Yes,No,64,Yes,Yes,No,No,Yes,Yes,No
Yes,Yes,72,Yes,Yes,No,Yes,No,No,No
No,Yes,44,Yes,No,No,No,No,No,No
Yes,Yes,13,Yes,No,No,No,No,No,Yes
No,No,17,Yes,No,No,No,No,No,No
No,No,1,Yes,No,No,No,No,No,Yes
Yes,No,9,Yes,No,No,No,Yes,No,No
Yes,No,24,Yes,No,Yes,No,No,Yes,No
Yes,Yes,1,Yes,No,No,Yes,No,No,Yes
No,No,24,Yes,Yes,No,Yes,No,No,Yes
Yes,Yes,35,Yes,No,No,Yes,No,Yes,No
Yes,Yes,7,Yes,No,Yes,Yes,Yes,Yes,No
No,No,5,Yes,No,No,No,No,Yes,Yes
No,Yes,15,Yes,No,No,No,No,No,Yes
Yes,Yes,11,Yes,No,No,No,No,No,No
Yes,No,48,No,No,Yes,No,Yes,No,Yes
No,No,20,Yes,No,No,No,No,No,No
Yes,No,72,Yes,Yes,No,Yes,Yes,Yes,No
Yes,Yes,8,Yes,No,No,Yes,No,No,Yes
Yes,Yes,72,Yes,Yes,No,No,No,No,No
No,No,15,Yes,Yes,No,Yes,No,No,No
No,No,72,Yes,Yes,No,Yes,Yes,Yes,No
Yes,Yes,0,No,No,Yes,No,Yes,Yes,No
No,Yes,1,Yes,Yes,No,No,No,No,Yes
Yes,Yes,63,Yes,Yes,No,Yes,Yes,No,No
No,No,2,Yes,No,No,Yes,No,No,No
Yes,No,2,Yes,No,Yes,No,No,No,Yes
Yes,No,61,Yes,Yes,No,Yes,No,No,No
No,No,1,Yes,No,No,No,No,No,No
No,No,22,No,No,No,Yes,Yes,No,Yes
Yes,No,28,Yes,No,Yes,Yes,No,Yes,No
Yes,No,70,Yes,No,No,No,No,No,No
No,No,5,No,No,No,Yes,No,No,Yes
No,No,12,Yes,Yes,Yes,Yes,Yes,No,Yes
No,No,34,Yes,Yes,Yes,Yes,Yes,Yes,No
Yes,No,71,Yes,Yes,Yes,No,No,No,No
Yes,Yes,70,Yes,Yes,Yes,No,No,No,No
Yes,Yes,52,Yes,No,Yes,No,Yes,Yes,No
No,Yes,69,Yes,Yes,Yes,Yes,Yes,Yes,No
No,No,20,Yes,Yes,No,Yes,Yes,No,Yes
No,Yes,11,Yes,Yes,No,No,Yes,No,No
